239108 3
0.249 -4.355 3.133
0.206 3.277 2.392
0.298 1.075 3.664
0.42 1.077 6.197
0.24 1.501 4.921
0.231 0.774 5.19
0.205 1.26 5.332
0.235 0.267 5.064
0.234 0.643 4.654
0.189 0.204 4.392
0.18 0.409 3.594
0.193 0.342 3.795
0.194 -0.892 3.795
0.199 -6.311 3.862
0.201 1.261 4.131
0.195 0.914 4.265
0.217 0.238 4.534
0.217 0.034 5.333
0.297 0.444 6.131
0.534 3.606 6.305
0.398 1.315 4.654
0.219 0.034 2.519
0.221 -2.017 2.519
0.27 -2.999 3.198
0.248 -2.914 2.324
0.268 -3.595 2.996
0.256 1.904 2.056
0.24 1.901 2.197
0.209 1.903 1.592
0.178 1.221 0.988
0.168 0.98 1.126
0.167 0.882 0.927
0.161 0.511 0.726
0.144 0.132 0.659
0.263 -0.882 2.268
0.385 -1.053 5.398
0.382 -3.719 4.769
0.252 3.309 4.116
0.238 1.554 3.19
0.156 1.834 1.988
0.174 1.083 3.333
0.175 0.54 2.459
0.173 0.643 1.925
0.229 0.511 2.664
0.264 -0.034 3.201
0.206 0.342 1.787
0.273 0.307 2.799
0.261 0.166 2.462
0.263 0.033 2.526
0.218 -4.839 1.722
0.256 2.95 2.264
0.36 2.099 4.209
0.517 -0.377 6.931
0.248 -0.897 6.551
0.222 -0.888 6.388
0.271 -0.777 6.802
0.248 -0.614 5.862
0.208 -0.676 4.392
0.222 0.502 4.733
0.209 0.571 3.728
0.2 0.714 3.862
0.262 0.917 4.87
0.242 1.828 5.333
0.244 0.95 4.795
0.249 0.777 5.138
0.292 0.443 5.537
0.276 0.472 4.582
0.247 0.067 4.127
0.374 -0.449 4.063
0.436 -1.534 4.937
0.282 -1.219 3.661
0.235 -4.833 3.128
0.243 1.96 3.332
0.243 1.421 3.534
0.211 0.844 3.191
0.179 1.29 2.324
0.161 0.678 1.787
0.155 0.886 2.262
0.134 0.505 1.99
0.202 -0.376 2.73
0.332 0.376 5.868
0.213 -0.922 6.583
0.159 -6.582 5.791
0.154 3.198 5.728
0.126 1.995 5.661
0.124 1.696 5.732
0.121 1.053 5.325
0.124 -0.619 5.459
0.135 -1.094 5.258
0.13 -0.509 4.862
0.151 0.376 4.997
0.152 -0.342 5.129
0.131 -0.78 5.795
0.113 1.23 5.593
0.143 -0.172 6.328
0.176 3.392 6.459
0.192 -0.811 6.391
0.209 2.014 6.324
0.134 1.669 5.591
0.347 0.707 6.196
0.214 0.68 3.919
0.169 2.417 2.384
0.196 -0.206 3.129
0.242 0.027 4.54
0.262 -0.44 3.93
0.195 -0.342 3.459
0.202 -1.026 3.063
0.171 -6.844 2.593
0.159 1.901 2.593
0.157 3.045 1.992
0.137 1.049 1.525
0.152 1.665 1.996
0.22 1.763 3.474
0.38 0.806 6.137
0.157 0.991 6.378
0.12 0.269 4.854
0.092 -0.036 4.385
0.074 0.066 3.992
0.084 -0.136 4.534
0.079 -4.608 4.131
0.08 2.582 3.728
