2527 3
1476858419.781529 -1.002638 37.616632
1476858420.822390 -1.002638 37.616632
1476858421.862974 -1.002638 37.616632
1476858422.915549 -1.002527 37.616643
1476858423.950192 -1.002527 37.616643
1476858424.989534 -1.002513 37.616643
1476858426.030344 -1.002490 37.616615
1476858427.070015 -1.002490 37.616615
1476858428.110404 -1.002482 37.616547
1476858429.153251 -1.002500 37.616502
1476858430.190730 -1.002500 37.616502
1476858431.241160 -1.002562 37.616420
1476858432.281827 -1.002608 37.616382
1476858433.321345 -1.002608 37.616382
1476858434.362194 -1.002740 37.616313
1476858435.401694 -1.002807 37.616270
1476858436.441967 -1.002807 37.616270
1476858437.481653 -1.002918 37.616195
1476858438.522902 -1.002982 37.616183
1476858439.572469 -1.002982 37.616183
1476858440.610732 -1.003102 37.616215
1476858441.650015 -1.003102 37.616215
1476858442.690499 -1.003167 37.616252
1476858443.730213 -1.003320 37.616332
1476858444.771041 -1.003320 37.616332
1476858445.810371 -1.003407 37.616370
1476858446.850939 -1.003682 37.616488
1476858447.902257 -1.003682 37.616488
1476858448.943567 -1.003778 37.616528
1476858449.982803 -1.003993 37.616603
1476858451.023187 -1.003993 37.616603
1476858452.062846 -1.004110 37.616640
1476858453.102195 -1.004358 37.616705
1476858454.142875 -1.004358 37.616705
1476858455.182312 -1.004615 37.616768
1476858456.232428 -1.004738 37.616800
1476858457.271758 -1.004738 37.616800
1476858458.310983 -1.004982 37.616863
1476858459.351694 -1.005097 37.616893
1476858460.391294 -1.005097 37.616893
1476858461.431845 -1.005317 37.616948
1476858462.472469 -1.005420 37.616973
1476858463.510923 -1.005420 37.616973
1476858464.560877 -1.005623 37.617022
1476858465.602709 -1.005623 37.617022
1476858466.641784 -1.005715 37.617042
1476858467.680307 -1.005867 37.617057
1476858468.722823 -1.005867 37.617057
1476858469.761489 -1.005920 37.617048
1476858470.801296 -1.005955 37.616970
1476858471.841738 -1.005955 37.616970
1476858472.891268 -1.005955 37.616970
1476858473.932284 -1.005858 37.616915
1476858474.972076 -1.005858 37.616915
1476858476.011114 -1.005822 37.616905
1476858477.051627 -1.005668 37.616892
1476858478.090272 -1.005668 37.616892
1476858479.131952 -1.005513 37.616883
1476858480.231517 -1.005443 37.616868
1476858481.280654 -1.005443 37.616868
1476858482.323053 -1.005312 37.616823
1476858483.362292 -1.005238 37.616802
1476858484.401855 -1.005238 37.616802
1476858485.442312 -1.005098 37.616760
1476858486.482278 -1.005030 37.616738
1476858487.522510 -1.005030 37.616738
1476858488.562144 -1.004913 37.616690
1476858489.616275 -1.004913 37.616690
1476858490.651957 -1.004857 37.616668
1476858491.691862 -1.004767 37.616637
1476858492.731525 -1.004767 37.616637
1476858493.771921 -1.004730 37.616627
1476858494.812532 -1.004652 37.616603
1476858495.852549 -1.004652 37.616603
1476858496.892872 -1.004652 37.616603
1476858497.943324 -1.004593 37.616592
1476858498.983397 -1.004593 37.616592
1476858500.023556 -1.004573 37.616600
1476858501.064249 -1.004553 37.616628
1476858502.103897 -1.004553 37.616628
1476858503.143209 -1.004547 37.616648
1476858504.184108 -1.004547 37.616652
1476858505.223525 -1.004547 37.616652
1476858506.274739 -1.004547 37.616652
1476858507.312933 -1.004547 37.616652
1476858508.353044 -1.004547 37.616652
1476858509.391735 -1.004548 37.616652
1476858510.432210 -1.004548 37.616652
1476858511.472743 -1.004548 37.616652
1476858512.512366 -1.004550 37.616650
1476858513.553212 -1.004550 37.616650
1476858514.603222 -1.004550 37.616650
1476858515.643784 -1.004550 37.616650
1476858516.683879 -1.004550 37.616650
1476858517.722298 -1.004550 37.616650
1476858518.763944 -1.004550 37.616650
1476858519.803827 -1.004550 37.616650
1476858520.845561 -1.004550 37.616650
1476858762.557353 0.000000 0.000000
1476858763.599909 0.000000 0.000000
1476858764.639141 -1.004550 37.616650
1476858765.679672 -1.004550 37.616650
1476858766.719128 -1.004550 37.616650
1476858767.759812 -1.004550 37.616650
1476858768.799587 -1.004550 37.616650
1476858769.839878 -1.004550 37.616650
1476858770.891832 -1.004550 37.616650
1476858771.929788 -1.004550 37.616650
1476858772.968790 -1.004550 37.616650
1476858774.009341 -1.004550 37.616650
1476858775.048968 -1.004550 37.616650
1476858776.089398 -1.004550 37.616650
1476858777.129103 -1.004550 37.616650
1476858778.169562 -1.004550 37.616650
1476858779.217940 -1.004550 37.616650
1476858780.261290 -1.004550 37.616650
1476858781.300299 -1.004550 37.616650
1476858782.340995 -1.004550 37.616650
1476858783.380486 -1.004550 37.616650
1476858784.420043 -1.004550 37.616650
